restaurant_name,airport_ident,airport_name,city,state,type,region,source,website,substack_post,notes
Spruce Goose Café,0S9,Jefferson County Intl,Port Townsend,WA,on-airport,PNW,Substack review,https://sprucegoosecafe.com,https://airportrestaurants.substack.com/p/spruce-goose,A legendary fly-in destination since the 1960s. Aviation-themed décor and homemade pies — marionberry and rhubarb are the ones to get. Named a Top 10 Airport Restaurant by AOPA. Watch planes taxi past while you eat. Wed–Sun 8AM–4PM.
Amelia's Hangar Restaurant and Lounge,KPWT,Bremerton National Airport,Bremerton,WA,on-airport,PNW,Substack review,https://www.ameliashangarrestaurant.com,https://airportrestaurants.substack.com/p/amelias-hangar-restaurant-and-lounge-d29,Amelia Earhart-themed restaurant inside a plane hangar at Bremerton National. American classics with generous portions. Sunday brunch buffet draws pilots and locals alike. Tue–Thu 6AM–8PM · Fri–Sat 6AM–9PM · Sun 6AM–8PM · Closed Mon.
The Hub - Gig Harbor,KTIW,Tacoma Narrows Airport,Gig Harbor,WA,on-airport,PNW,Substack review,https://www.toasttab.com/the.hub.gig.harbor/v3,https://airportrestaurants.substack.com/p/the-hub-gig-harbor,On-field restaurant right at Tacoma Narrows with runway views. Burgers, pizza, Cajun tots and Harmon craft beers on tap. Watch GA aircraft and business jets roll by. Open daily 11AM–9PM.
Gaston's Restaurant,3M0,Gaston's Airport,Lakeview,AR,on-airport,South,Seed list,https://gastons.com,,World-famous fly-in fishing resort on the White River. The restaurant serves fresh trout caught steps from the table. One of the most unique fly-in dining experiences in the country — land on the private strip and walk to the table.
Flo's Airport Café,KCNO,Chino Airport,Chino,CA,on-airport,SoCal,Seed list,,,Classic airport diner at Chino Airport — home of the Planes of Fame Air Museum. Breakfast and lunch staples served with a side of warbird sightings. A longtime favorite for pilots flying the Southern California basin.
Harris Ranch Restaurant,3O8,Harris Ranch Airport,Coalinga,CA,on-airport,CA,Seed list,https://harrisranch.com,,A legendary California pit stop on the I-5 corridor. Land at the private Harris Ranch strip and walk to one of the state's most famous steakhouses. Prime beef raised on-site. Open for breakfast, lunch and dinner daily.
Waypoint Cafe,KCMA,Camarillo Airport,Camarillo,CA,on-airport,SoCal,Seed list,,,Popular on-field café at Camarillo Airport serving breakfast and lunch. Generous portions and a friendly pilot crowd. On clear days the Channel Islands are visible from the ramp. Open daily 7AM–3PM.
The Perfect Landing,KAPA,Centennial Airport,Englewood,CO,on-airport,Mountain,Seed list,https://perfectlandingrestaurant.com,,Upscale dining with panoramic views of the Front Range and runway at Centennial Airport. One of Colorado's best airport restaurants — think steaks and Colorado craft beers with a view of the Rockies. Open for lunch and dinner.
Restaurant 121,KOXC,Waterbury-Oxford Airport,Oxford,CT,on-airport,Northeast,Seed list,,,On-field restaurant at Waterbury-Oxford with runway views. Breakfast and lunch served daily. Local favorite for weekend fly-ins in the Connecticut hills. Named for the airport elevation — 726 feet MSL.
The Downwind Café,7FL6,Spruce Creek Fly-In,Port Orange,FL,on-airport,FL,Seed list,,,Located inside the famous Spruce Creek Fly-In community — one of the largest residential airparks in the world. Casual café atmosphere with a mix of resident pilots and visiting aviators. Great spot to soak up the unique fly-in neighborhood vibe.
CJ Cannon's,KVRB,Vero Beach Regional Airport,Vero Beach,FL,on-airport,FL,Seed list,https://cjcannons.com,,A Vero Beach institution right on the airport with sweeping runway views. Known for generous portions of American comfort food and a lively bar. Popular with both Piper training fleet pilots from next door and transient GA traffic.
Flightline Café,KGIF,Winter Haven Regional Airport,Winter Haven,FL,on-airport,FL,Seed list,,,Casual on-field diner at Winter Haven Regional serving breakfast and lunch. Friendly staff and a loyal local pilot following. Good stopping point between Tampa and Orlando in the heart of central Florida's lake country.
Runways at Bartow,KBOW,Bartow Municipal Airport,Bartow,FL,on-airport,FL,Seed list,,,On-field restaurant at Bartow Municipal in the heart of Polk County. Breakfast and lunch with views of the ramp and a rotating menu of daily specials. A quiet alternative to busier central Florida airports.
Suncoast Café,KVNC,Venice Municipal Airport,Venice,FL,on-airport,FL,Seed list,,,Relaxed café at Venice Municipal — the shark tooth capital of the world. Breakfast and lunch with a friendly airport crowd. Venice has one of the most active GA communities on Florida's Gulf Coast.
Tailwind Café,KOCF,Ocala Intl (Jim Taylor Field),Ocala,FL,on-airport,FL,Seed list,,,On-field café at Ocala International serving breakfast and lunch to the north-central Florida GA community. Horse country surrounds the airport — a good fuel and food stop between Gainesville and the I-4 corridor.
The Hangar Restaurant & Flight Lounge,KSPG,Albert Whitted Airport,St. Petersburg,FL,on-airport,FL,Seed list,,,Waterfront airport restaurant at Albert Whitted with stunning views of Tampa Bay and the St. Pete skyline. One of Florida's most scenic dining spots. Open for breakfast and lunch — arrive early on weekends.
Landing Strip Café,KOBE,Okeechobee County Airport,Okeechobee,FL,on-airport,FL,Seed list,,,Down-home Florida diner at Okeechobee County Airport. Breakfast and lunch served to a mix of ag pilots, fishermen and cross-country traffic. Okeechobee sits at the north end of the lake — good stopping point for south Florida trips.
Jet Runway Café,KFXE,Fort Lauderdale Executive Airport,Fort Lauderdale,FL,on-airport,FL,Seed list,,,Casual café at Fort Lauderdale Executive — one of the busiest GA airports in the country. Breakfast and lunch with a front-row seat to a parade of jets, turboprops and helicopters. Great people-watching between bites.
57th Fighter Group Restaurant,KPDK,DeKalb-Peachtree Airport,Atlanta,GA,near-airport,GA,Seed list,https://the57threstaurant.com,,WWII-themed restaurant adjacent to DeKalb-Peachtree with a control tower you can dine in. Runway views, wartime memorabilia and a full menu of American classics. One of the most atmospheric airport-adjacent restaurants in the Southeast.
Pilot Pete's,06C,Schaumburg Regional Airport,Schaumburg,IL,on-airport,Midwest,Seed list,,,Beloved on-field diner at Schaumburg Regional in the Chicago suburbs. Big breakfasts, burgers and a loyal pilot crowd. One of the busiest small GA airports in Illinois — expect company on weekend mornings.
Rick's Café Boatyard,KEYE,Eagle Creek Airpark,Indianapolis,IN,near-airport,Midwest,Seed list,https://rickscafeboatyard.com,,Waterfront restaurant on Eagle Creek Reservoir adjacent to Eagle Creek Airpark. Seafood, burgers and lake views. A fun combination of the boating and flying communities in one spot on the west side of Indianapolis.
The Beaumont Hotel Café,07S,Beaumont Hotel Airport,Beaumont,KS,on-airport,Midwest,Seed list,,,Historic hotel café at a private Kansas airstrip. The Beaumont Hotel dates to 1879 and has hosted cattle drives and oil barons. A genuine step back in time — land at the grass strip and walk to the dining room.
Bistro Le Relais,KLOU,Bowman Field,Louisville,KY,on-airport,South,Seed list,https://lerelaisrestaurant.com,,French bistro in the historic terminal at Bowman Field — one of the oldest operating airports in the US. White tablecloths and classic French cuisine next to a ramp full of vintage aircraft. A genuinely surprising find at a Kentucky GA airport.
Nancy's Air Field Café,6B6,Minute Man Air Field,Stow,MA,on-airport,Northeast,Seed list,,,Classic New England airport diner at Minute Man Airfield west of Boston. Famous among local pilots for generous breakfasts and friendly service. The airfield has strong ties to the local Civil Air Patrol and EAA community.
